,trail_id,name,area_name,state_name,popularity,length,elevation_gain,difficulty_rating,visitor_usage,avg_rating,num_reviews,latitude,longitude,loop,out and back,point to point,backpacking,hot-springs,partially-paved,waterfall,canoeing,bike-touring,walking,snowboarding,camping,city-walk,kids,river,rails-trails,beach,surfing,road-biking,snowshoeing,skiing,horseback-riding,trail-running,wild-flowers,fishing,views,fly-fishing,cave,cross-country-skiing,sea-kayaking,hiking,historic-site,birding,whitewater-kayaking,off-road-driving,ada,paved,scenic-driving,lake,paddle-sports,wildlife,strollers,nature-trips,dogs-leash,dogs,mountain-biking,dogs-no,rock-climbing,forest,ice-climbing
0,10020048,Harding Ice Field Trail,Kenai Fjords National Park,Alaska,0.2941650546128767,0.029465370595382744,0.08281555507277863,0.6666666666666666,0.6666666666666666,1.0,0.1083781706379708,60.18852,-149.63156,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1,10236086,Mount Healy Overlook Trail,Denali National Park,Alaska,0.21307589316839767,0.013061968408262454,0.03619378666087335,0.3333333333333333,0.0,0.9,0.06661542403279529,63.73049,-148.91968,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
2,10267857,Exit Glacier Trail,Kenai Fjords National Park,Alaska,0.21013342724014422,0.005467800729040097,0.005844014772974148,0.0,0.6666666666666666,0.9,0.05739174993594671,60.18879,-149.631,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,10236076,Horseshoe Lake Trail,Denali National Park,Alaska,0.19223401703321438,0.00637910085054678,0.008537910058657398,0.0,0.3333333333333333,0.9,0.06072252113758647,63.73661,-148.915,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
4,10236082,Triple Lakes Trail,Denali National Park,Alaska,0.14881905488939756,0.056196840826245445,0.080165109711058,0.6666666666666666,0.0,0.9,0.028183448629259544,63.73319,-148.89682,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
5,10241620,Bison Gulch,Denali National Park,Alaska,0.10438191080664926,0.0212636695018226,0.08403215294373235,0.6666666666666666,0.0,0.9,0.011017166282346913,63.80507,-148.95336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
6,10236080,Rock Creek Trail,Denali National Park,Alaska,0.09084538582345913,0.013365735115431349,0.020508364110362807,0.3333333333333333,0.0,0.8,0.009992313604919293,63.73056,-148.91955,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
7,10236075,Taiga Trail,Denali National Park,Alaska,0.06976598533021204,0.004860267314702308,0.004475342168151206,0.3333333333333333,0.0,0.8,0.006917755572636433,63.73043,-148.91922,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
8,10236084,McKinley Station Trail,Denali National Park,Alaska,0.0695851832069097,0.008809234507897933,0.008125135781012384,0.0,0.0,0.9,0.005380476556495004,63.73324,-148.89659,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
9,10327620,Mount Thorofare Ridge Loop,Denali National Park,Alaska,0.06852754987125234,0.012454434993924665,0.03619378666087335,0.6666666666666666,0.0,0.9,0.0012810658467845247,63.43108,-150.31096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
